Index,OEM,Model,Launch Announced,Launch Status,Body Dimensions,Body Weight,Body SIM,Display Type,Display Size,Display Resolution,Features Sensors,Platform OS
362,Motorola,Moto Z4 Play,,Cancelled,,,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors","6.22 inches,95.0 cm"
363,Motorola,P40,,Cancelled,160.1 x 71.2 x 8.7 mm (6.30 x 2.80 x 0.34 in),,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors","6.2 inches,95.1 cm (~83.5% screen-to-body ratio)"
364,NEC,N401i,2005,Q1",Discontinued,"90 x 44 x 23 mm,85 cc (3.54 x 1.73 x 0.91 in)",90 g (3.17 oz),Mini-SIM,65K colors,"1.9 inches,30 x  37 mm
365,NEC,N343i,2005,Q2",Discontinued,109 x 43 x 12.7 mm (4.29 x 1.69 x 0.5 in),95 g (3.35 oz),Mini-SIM,"CSTN,65K colors",,128 x 160 pixels
366,NEC,N200,2005,Q1",Discontinued,70 x 51 x 18.6 mm (2.76 x 2.01 x 0.73 in),70 g (2.47 oz),Mini-SIM,"TFT,65K colors",,128 x 160 pixels
367,NEC,N923,2004,Q4",Discontinued,85 x 54 x 9.5 mm (3.35 x 2.13 x 0.37 in),70 g (2.47 oz),Mini-SIM,"TFT,65K colors",,"120 x 160 pixels
368,NEC,N920,2004,Q3",Discontinued,85 x 54 x 9.6 mm (3.35 x 2.13 x 0.38 in),70 g (2.47 oz),Mini-SIM,"TFT,65K colors",,128 x 160 pixels
369,NEC,e338,2004,Q3",Discontinued,"93.8 x 47.1 x 23.3 mm,89 cc (3.69 x 1.85 x 0.92 in)",114 g (4.02 oz),Mini-SIM,"TFT,65K colors","2.0 inches
370,NEC,e228,2004,Q2",Discontinued,129 x 54 x 21 mm (5.08 x 2.13 x 0.83 in),125 g (4.41 oz),Mini-SIM,"TFT,65K colors","2.2 inches,35 x 44 mm
371,NEC,N410i,2004,March",Discontinued,"101 x 49 x 24 mm,103 cc (3.98 x 1.93 x 0.94 in)",118 g (4.16 oz),Mini-SIM,"TFT,65K colors","2.2 inches
372,NEC,N400i,2004,March",Discontinued,"101 x 49 x 24 mm,100 cc (3.98 x 1.93 x 0.94 in)",110 g (3.88 oz),Mini-SIM,65K colors,"2.2 inches,33 x 45 mm
373,NEC,N331i,2004,March",Discontinued,"101 x 48 x 24 mm,90 cc (3.98 x 1.89 x 0.94 in)",110 g (3.88 oz),Mini-SIM,"TFT,65K colors",
374,NEC,N830,2004,Q2",Discontinued,101 x 49 x 24 mm (3.98 x 1.93 x 0.94 in),110 g (3.88 oz),Mini-SIM,"TFT,65K colors","2.2 inches,33 x 45 mm
375,NEC,N820,2003,Q4",Discontinued,"101 x 48 x 24 mm,90 cc (3.98 x 1.89 x 0.94 in)",110 g (3.88 oz),Mini-SIM,"TFT,65K colors","2.2 inches
376,NEC,e606,2003,Q1",Discontinued,"109 x 53 x 32 mm,140 cc (4.29 x 2.09 x 1.26 in)",145 g (5.11 oz),Mini-SIM,"TFT,65K colors",
377,NEC,e232,2003,Q2",Discontinued,"90 x 43 x 23 mm,97 cc (3.54 x 1.69 x 0.91 in)",90 g (3.17 oz),Mini-SIM,"TFT,65K colors",
378,NEC,DB4100,2000,Discontinued,"120 x 42 x 22 mm,89 cc (4.72 x 1.65 x 0.87 in)",99 g (3.49 oz),Mini-SIM,Alphanumeric,,"97 x 59 pixels,5:3 ratio"
379,NEC,G9D+,1997,Discontinued,145 x 49 x 22.5 mm (5.71 x 1.93 x 0.89 in),200 g (7.05 oz),Mini-SIM,Alphanumeric,,4 x 12 chars,V1,
380,Neonode,N1m,2005,Q1",Discontinued,88 x 52 x 21 mm (3.46 x 2.05 x 0.83 in),94 g (3.32 oz),Mini-SIM,"TFT touchscreen,65K colors","2.2 inches,35 x 44 mm
381,Nokia,C5 Endi,2020,May 29","Available. Released 2020,June 05",171.7 x 76.7 x 8.9 mm (6.76 x 3.02 x 0.35 in),200 g (7.05 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","6.52 inches
382,Nokia,C2 Tennen,2020,May 29","Available. Released 2020,June 15",150.6 x 72.4 x 9.1 mm (5.93 x 2.85 x 0.36 in),180 g (6.35 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","5.45 inches
383,Nokia,C2 Tava,2020,May 29","Available. Released 2020,May 29",150.6 x 72.4 x 9.1 mm (5.93 x 2.85 x 0.36 in),180 g (6.35 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","5.45 inches
384,Nokia,150 (2020),2020,May 12","Coming soon. Exp. release 2020,June",132 x 50.5 x 15 mm (5.20 x 1.99 x 0.59 in),90.5 g (3.21 oz),"Dual SIM (Mini-SIM,dual stand-by)","TFT,65K colors"
385,Nokia,125,2020,May 12","Coming soon. Exp. release 2020,June",132 x 50.5 x 15 mm (5.20 x 1.99 x 0.59 in),91.3 g (3.21 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM,dual stand-by)","TFT,65K colors"
386,Nokia,8.3 5G,2020,March 19","Coming soon. Exp. release 2020,July",171.9 x 78.6 x 9 mm (6.77 x 3.09 x 0.35 in),220 g (7.76 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
387,Nokia,5.3,2020,March 19","Available. Released 2020,April 02",164.3 x 76.6 x 8.5 mm (6.47 x 3.02 x 0.33 in),185 g (6.53 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
388,Nokia,1.3,2020,March 19","Available. Released 2020,April 02",147.3 x 71.2 x 9.4 mm (5.80 x 2.80 x 0.37 in),155 g (5.47 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
389,Nokia,5310 (2020),2020,March 19","Available. Released 2020,April 02","123.7 x 52.4 x 13.1 mm,44.8 cc (4.87 x 2.06 x 0.52 in)",88.2 g (3.10 oz),"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM,dual stand-by)",TFT
390,Nokia,2.3,2019,December 05","Available. Released 2019,December 19",157.7 x 75.4 x 8.7 mm (6.21 x 2.97 x 0.34 in),183 g (6.46 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
391,Nokia,7.2,2019,September 05","Available. Released 2019,September 23",159.9 x 75.2 x 8.3 mm (6.30 x 2.96 x 0.33 in),180 g (6.35 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
392,Nokia,6.2,2019,September 05","Available. Released 2019,October 17",159.9 x 75.1 x 8.3 mm (6.30 x 2.96 x 0.33 in),180 g (6.35 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
393,Nokia,800 Tough,2019,September 05","Available. Released 2019,September 05",145.4 x 62.1 x 16.1 mm (5.72 x 2.44 x 0.63 in),161 g (5.68 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","TFT,256K colors"
394,Nokia,2720 Flip,2019,September 05","Available. Released 2019,September 05",192.7 x 54.5 x 11.6 mm (7.59 x 2.15 x 0.46 in),118 g (4.16 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","TFT,256K colors"
395,Nokia,220 4G,2019,July 24","Available. Released 2019,July 24",121.3 x 52.9 x 13.4 mm (4.78 x 2.08 x 0.53 in),86.5 g (3.03 oz),"Single SIM (Nano-SIM) or Dual SIM (Mini-SIM,dual stand-by)","TFT,256K colors"
396,Nokia,110 (2019),2019,September","Available. Released 2019,September",115.2 x 49.9 x 14.3 mm (4.54 x 1.96 x 0.56 in),75 g (2.65 oz),"Dual SIM (Mini-SIM,dual stand-by)","TFT,65K colors"
397,Nokia,105 (2019),2019,July","Available. Released 2019,September",119 x 49.2 x 14.4 mm (4.69 x 1.94 x 0.57 in),73 g (2.57 oz),"Dual SIM (Mini-SIM,dual stand-by)","TFT,65K colors"
398,Nokia,3.1 C,2019,June","Available. Released 2019,June",152.7 x 71.9 x 9.4 mm (6.01 x 2.83 x 0.37 in),156 g (5.50 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","5.45 inches
399,Nokia,3.1 A,2019,June","Available. Released 2019,June",152.7 x 71.9 x 9.4 mm (6.01 x 2.83 x 0.37 in),156 g (5.50 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","5.45 inches
400,Nokia,2.2,2019,June 06","Available. Released 2019,June 11",146 x 70.6 x 9.3 mm (5.75 x 2.78 x 0.37 in),153 g (5.40 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
401,Nokia,X6 8GB (2010),2010,June. Released 2010,July",Discontinued,111 x 51 x 13.8 mm (4.37 x 2.01 x 0.54 in),122 g (4.30 oz),Mini-SIM,"TFT capacitive touchscreen,16M colors","3.2 inches
402,Nokia,X6 16GB (2010),2010,January. Released 2010,February",Discontinued,111 x 51 x 13.8 mm (4.37 x 2.01 x 0.54 in),122 g (4.30 oz),Mini-SIM,"TFT capacitive touchscreen,16M colors","3.2 inches
403,Nokia,X6 (2009),2009,September. Released 2009,December",Discontinued,111 x 51 x 13.8 mm (4.37 x 2.01 x 0.54 in),122 g (4.30 oz),Mini-SIM,"TFT capacitive touchscreen,16M colors","3.2 inches
404,Nokia,6131 NFC,2007,February. Released 2007,Q1",Discontinued,92 x 47 x 20 mm (3.62 x 1.85 x 0.79 in),104 g (3.67 oz),Mini-SIM,"TFT,16M colors","2.2 inches
405,Nokia,8.1 Plus,,Cancelled,,,"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors","6.22 inches,90.4 cm"
406,O2,Cosmo,2006,September",Discontinued,111 x 62 x 13 mm (4.37 x 2.44 x 0.51 in),130 g (4.59 oz),Mini-SIM,"TFT,65K colors","2.4 inches,50 x 37 mm
407,O2,XDA Orion,2005,October",Discontinued,107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in),106 g (3.74 oz),Mini-SIM,"TFT,65K colors","2.2 inches,34 x 45 mm
408,O2,X1b,2005,Q2",Discontinued,102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in),86 g (3.03 oz),Mini-SIM,"TFT,65K colors",,"128 x 128 pixels
409,O2,XM,2005,Q2",Discontinued,89 x 47 x 23.5 mm (3.50 x 1.85 x 0.93 in),91 g (3.21 oz),Mini-SIM,"TFT,256K colors",,176 x 220 pixels
410,O2,X4,2004,Q4",Discontinued,89.9 x 45.1 x 24 mm (3.54 x 1.78 x 0.94 in),116 g (4.09 oz),Mini-SIM,"TFT,256K colors",,176 x 220 pixels
411,O2,XDA IIs,2004,Q4",Discontinued,125 x 71 x 19 mm (4.92 x 2.80 x 0.75 in),210 g (7.41 oz),Mini-SIM,"TFT resistive touchscreen,65K colors","3.5 inches,53 x 71 mm
412,O2,XDA IIi,2004,Q4",Discontinued,130 x 70 x 19 mm (5.12 x 2.76 x 0.75 in),190 g (6.70 oz),Mini-SIM,"TFT resistive touchscreen,65K colors","3.5 inches,53 x 71 mm
413,O2,Xphone II,2004,Q4",Discontinued,107 x 44 x 18 mm (4.21 x 1.73 x 0.71 in),102 g (3.60 oz),Mini-SIM,"TFT,65K colors","2.2 inches,35 x 44 mm
414,O2,XDA II,2003,Discontinued,130 x 70 x 19 mm (5.12 x 2.76 x 0.75 in),190 g (6.70 oz),Mini-SIM,"TFT resistive touchscreen,65K colors","3.5 inches,53 x 71 mm,37.9 cm (~41.7% screen-to-body ratio)"
415,O2,Xphone,2003,Discontinued,120 x 50 x 24 mm (4.72 x 1.97 x 0.94 in),130 g (4.59 oz),Mini-SIM,"TFT,65K colors","2.2 inches,35 x 44 mm,15.2 cm (~25.4% screen-to-body ratio)"
416,O2,XDA,2003,Discontinued,129 x 73 x 18 mm (5.08 x 2.87 x 0.71 in),201 g (7.09 oz),Mini-SIM,"TFT resistive touchscreen,4096 colors","3.5 inches,53 x 71 mm,37.9 cm (~40.3% screen-to-body ratio)"
417,OnePlus,8 5G UW (Verizon),2020,April 14","Available. Released 2020,April 29",160.2 x 72.9 x 8 mm (6.31 x 2.87 x 0.31 in),180 g (6.35 oz),Pre-installed Nano-SIM,"Fluid AMOLED capacitive touchscreen,16M colors","6.55 inches
418,OnePlus,8 5G (T-Mobile),2020,April 14","Available. Released 2020,April 29",160.2 x 72.9 x 8 mm (6.31 x 2.87 x 0.31 in),180 g (6.35 oz),Nano-SIM,"Fluid AMOLED capacitive touchscreen,16M colors","6.55 inches
419,OnePlus,7T Pro 5G McLaren,2019,October 23","Available. Released 2019,November 05",162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),206 g (7.27 oz),"Dual SIM (Nano-SIM,dual stand-by)","Fluid AMOLED capacitive touchscreen,16M colors"
420,OnePlus,7T Pro,2019,October 10","Available. Released 2019,October 12",162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),206 g (7.27 oz),"Dual SIM (Nano-SIM,dual stand-by)","Fluid AMOLED capacitive touchscreen,16M colors"
421,OnePlus,7T,2019,September 26","Available. Released 2019,September 27",160.9 x 74.4 x 8.1 mm (6.33 x 2.93 x 0.32 in),190 g (6.70 oz),"Dual SIM (Nano-SIM,dual stand-by)","Fluid AMOLED capacitive touchscreen,16M colors"
422,OnePlus,7 Pro 5G,2019,May 14","Available. Released 2019,September 06",162.6 x 75.9 x 8.8 mm (6.40 x 2.99 x 0.35 in),206 g (7.27 oz),"Dual SIM (Nano-SIM,dual stand-by)","Fluid AMOLED capacitive touchscreen,16M colors"
423,Oppo,Reno4 Pro 5G,2020,June 05","Available. Released 2020,June 12",159.6 x 72.5 x 7.6 mm (6.28 x 2.85 x 0.30 in),172 g (6.07 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
424,Oppo,Reno4 5G,2020,June 05","Available. Released 2020,June 12",159.3 x 74 x 7.8 mm (6.27 x 2.91 x 0.31 in),183 g (6.46 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
425,Oppo,Find X2 Neo,2020,April 15","Available. Released 2020,May 21",159.4 x 72.4 x 7.7 mm (6.28 x 2.85 x 0.30 in),171 g (6.03 oz),Nano-SIM,"AMOLED capacitive touchscreen,16M colors","6.5 inches
426,Oppo,A92s,2020,April 20","Available. Released 2020,April 29",163.8 x 75.5 x 8.1 mm (6.45 x 2.97 x 0.32 in),184 g (6.49 oz),"Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
427,Oppo,Find X2 Lite,2020,April 20","Available. Released 2020,May 21",160.3 x 74.3 x 8 mm (6.31 x 2.93 x 0.31 in),180 g (6.35 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
428,Oppo,Ace2,2020,April 13","Available. Released 2020,April 20",160 x 75.4 x 8.6 mm (6.30 x 2.97 x 0.34 in),186 g (6.56 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
429,Oppo,A12e,2020,April 03","Available. Released 2020,April 16",156.2 x 75.6 x 8.2 mm (6.15 x 2.98 x 0.32 in),168 g (5.93 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
430,Oppo,Reno3,2020,March 17","Available. Released 2020,March 17",160.2 x 73.3 x 7.9 mm (6.31 x 2.89 x 0.31 in),170 g (6.00 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
431,Oppo,Find X2 Pro,2020,March 06","Available. Released 2020,March 06",165.2 x 74.4 x 8.8 mm (Ceramic) / 9.5mm (Leather),217 g (Ceramic) / 200 g (Leather) (7.05 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,1B colors"
432,Oppo,Find X2,2020,March 06","Available. Released 2020,March 06",164.9 x 74.5 x 8 mm (6.49 x 2.93 x 0.31 in),209 g (Ceramic) / 192 g (Glass) (6.77 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,1B colors"
433,Oppo,Reno3 Pro,2020,March 02","Available. Released 2020,March 06",158.8 x 73.4 x 8.1 mm (6.25 x 2.89 x 0.32 in),175 g (6.17 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
434,Oppo,F15,2020,January 16","Available. Released 2020,January",160.2 x 73.3 x 7.9 mm (6.31 x 2.89 x 0.31 in),172 g (6.07 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
435,Oppo,Reno3 Pro 5G,2019,December","Available. Released 2019,December",159.4 x 72.4 x 7.7 mm (6.28 x 2.85 x 0.30 in),171 g (6.03 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
436,Oppo,Reno3 Youth,2020,February 08","Available. Released 2020,February 14",160.3 x 74.3 x 8 mm (6.31 x 2.93 x 0.31 in),180 g (6.35 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
437,Oppo,Reno3 5G,2019,December","Available. Released 2019,December",160.3 x 74.3 x 8 mm (6.31 x 2.93 x 0.31 in),181 g (6.38 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
438,Oppo,A91,2019,December 20","Available. Released 2019,December",160.2 x 73.3 x 7.9 mm (6.31 x 2.89 x 0.31 in),172 g (6.07 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
439,Oppo,A8,2019,December","Available. Released 2019,December",163.9 x 75.5 x 8.3 mm (6.45 x 2.97 x 0.33 in),180 g (6.35 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
440,Oppo,Reno Ace,2019,October","Available. Released 2019,October",161 x 75.7 x 8.7 mm (6.34 x 2.98 x 0.34 in),200 g (7.05 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
441,Oppo,Reno A,2019,September","Available. Released 2019,October",158.4 x 75.4 x 7.8 mm (6.24 x 2.97 x 0.31 in),169.5 g (6.00 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
442,Oppo,A5 (2020),2019,September 21","Available. Released 2019,October",163.6 x 75.4 x 9.1 mm (6.44 x 2.97 x 0.36 in),195 g (6.88 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
443,Oppo,A9 (2020),2019,September 10","Available. Released 2019,September",163.6 x 75.6 x 9.1 mm (6.44 x 2.98 x 0.36 in),195 g (6.88 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
444,Oppo,Reno2,2019,August 28","Available. Released 2019,September",160 x 74.3 x 9.5 mm (6.30 x 2.93 x 0.37 in),189 g (6.67 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
445,Oppo,Reno2 F,2019,August 28","Available. Released 2019,October",162.4 x 75.8 x 8.7 mm (6.39 x 2.98 x 0.34 in),195 g (6.88 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
446,Oppo,Reno2 Z,2019,August","Available. Released 2019,September",162.4 x 75.8 x 8.7 mm (6.39 x 2.98 x 0.34 in),195 g (6.88 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
447,Oppo,Reno Z,2019,May","Available. Released 2019,June",157.3 x 74.9 x 9.1 mm (6.19 x 2.95 x 0.36 in),186 g (6.56 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
448,Oppo,A9x,2019,May","Available. Released 2019,May",162 x 76.1 x 8.3 mm (6.38 x 3.00 x 0.33 in),190 g (6.70 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
449,Oppo,Reno 5G,2019,April","Available. Released 2019,May",162 x 77.2 x 9.3 mm (6.38 x 3.04 x 0.37 in),215 g (7.58 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
450,Oppo,A1k,2019,April","Available. Released 2019,May",154.5 x 73.8 x 8.4 mm (6.08 x 2.91 x 0.33 in),170 g (6.00 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
451,Oppo,A5 (AX5),2018,July","Available. Released 2018,July",156.2 x 75.6 x 8.2 mm (6.15 x 2.98 x 0.32 in),168 g (5.93 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
452,Oppo,A31 (2015),2015,April. Released 2015,April 17",Discontinued,131.9 x 65.5 x 8 mm (5.19 x 2.58 x 0.31 in),135 g (4.76 oz),"Dual SIM (Nano-SIM/ Micro-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
453,Orange,Neva jet 5G,2019,November","Available. Released 2019,November",159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in),171 g (6.03 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
454,Orange,Gova,2014,February. Released 2014,April",Discontinued,7.9 mm thickness,,Micro-SIM,"IPS LCD capacitive touchscreen,16M colors","4.5 inches
455,Palm,Treo 650,2004,Q4",Discontinued,113 x 59 x 23 mm (4.45 x 2.32 x 0.91 in),178 g (6.28 oz),Mini-SIM,"TFT resistive touchscreen,65K colors","2.4 inches,44 x 44 mm
456,Panasonic,Eluga I7 (2019),2019,June","Available. Released 2019,July",148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in),168 g (5.93 oz),"Dual SIM (Nano-SIM/Micro-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
457,Panasonic,Eluga DL1,2012,February. Released 2012,April",Discontinued,123 x 62 x 7.8 mm (4.84 x 2.44 x 0.31 in),103 g (3.63 oz),Micro-SIM,"OLED capacitive touchscreen,16M colors","4.3 inches
458,Panasonic,VS7,2005,Q1",Discontinued,"102 x 51 x 18.8 mm,89 cc (4.02 x 2.01 x 0.74 in)",113 g (3.99 oz),Mini-SIM,"TFT,16M colors",
459,Panasonic,MX7,2005,Q1",Discontinued,"102 x 51 x 26 mm,118 cc (4.02 x 2.01 x 1.02 in)",144 g (5.08 oz),Mini-SIM,"TFT,16M colors",
460,Panasonic,SA7,2005,Q1",Discontinued,"102 x 53 x 26 mm,116 cc (4.02 x 2.09 x 1.02 in)",140 g (4.94 oz),Mini-SIM,"TFT,16M colors",
461,Panasonic,X70,2003,Q3",Discontinued,"87 x 47 x 24 mm,80 cc (3.43 x 1.85 x 0.94 in)",95 g (3.35 oz),Mini-SIM,"TFT,65K colors",
462,Panasonic,GD87,2002,November",Discontinued,97 x 49 x 23 mm (3.82 x 1.93 x 0.91 in),103 g (3.63 oz),Mini-SIM,"TFT,65K colors",,"132 x 176 pixels
463,Panasonic,GD67,2002,Discontinued,"109 x 45 x 20 mm,81 cc (4.29 x 1.77 x 0.79 in)",81 g (2.86 oz),Mini-SIM,"STN,256 colors",,"101 x 80 pixels
464,Panasonic,GD75,2001,Discontinued,"106 x 46 x 16 mm,75 cc (4.17 x 1.81 x 0.63 in)",82 g (2.89 oz),Mini-SIM,Monochrome graphic,,6 lines,V1
465,Panasonic,GD35,2001,Discontinued,120 x 46 x 20 mm (4.72 x 1.81 x 0.79 in),109 g (3.84 oz),Mini-SIM,Monochrome graphic,,,V1,
466,Panasonic,GD93,2000,Discontinued,120 x 45 x 16.4 mm (4.72 x 1.77 x 0.65 in),80 g (2.82 oz),Mini-SIM,Monochrome graphic,,6 lines,V1,
467,Panasonic,GD30,1999,Discontinued,135 x 45 x 20 mm (5.31 x 1.77 x 0.79 in),135 g (4.76 oz),Mini-SIM,Monochrome graphic,,4 x 16 chars,V1,
468,Pantech,Crux,2010,October. Released 2010,November",Discontinued,109 x 58 x 13 mm (4.29 x 2.28 x 0.51 in),122 g (4.30 oz),Mini-SIM,"TFT resistive touchscreen,256K colors","3.0 inches
469,Pantech,Laser P9050,2010,October. Released 2010,October",Discontinued,113.8 x 57.9 x 10 mm (4.48 x 2.28 x 0.39 in),115 g (4.06 oz),Mini-SIM,"AMOLED resistive touchscreen,256K colors","3.1 inches
470,Pantech,GF100,2005,Q1",Discontinued,82 x 44 x 22.5 mm (3.23 x 1.73 x 0.89 in),85 g (3.00 oz),Mini-SIM,"STN,65K colors",,"128 x 128 pixels
471,Pantech,GF200,2004,Q2",Discontinued,81 x 42 x 22 mm (3.19 x 1.65 x 0.87 in),85 g (3.00 oz),Mini-SIM,"TFT,256K colors",,128 x 160 pixels
472,Pantech,GB100,2004,Q2",Discontinued,80 x 42 x 21 mm (3.15 x 1.65 x 0.83 in),80 g (2.82 oz),Mini-SIM,"CSTN,65K colors",,"128 x 128 pixels
473,Philips,W5510,2013,September. Released 2013,September",Discontinued,116.2 x 63 x 13 mm (4.57 x 2.48 x 0.51 in),138.8 g (4.87 oz),Yes,TFT capacitive touchscreen,"3.5 inches,36.5 cm (~49.8% screen-to-body ratio)"
474,Philips,W6350,2012,November. Released 2012,November",Discontinued,125.2 x 63.9 x 11.5 mm (4.93 x 2.52 x 0.45 in),154 g (5.43 oz),Dual SIM (Mini-SIM),TFT capacitive touchscreen,"4.0 inches,45.5 cm (~56.9% screen-to-body ratio)"
475,Philips,W930,2012,July. Released 2012,July",Discontinued,110 x 57.8 x 22 mm (4.33 x 2.28 x 0.87 in),250 g (8.82 oz),Dual SIM (Mini-SIM),"Dual TFT capacitive touchscreen,256K colors","3.2 inches
476,Philips,362,2005,Q2",Discontinued,"100 x 45 x 18 mm,75 cc (3.94 x 1.77 x 0.71 in)",83 g (2.93 oz),Mini-SIM,"CSTN,65K colors",
477,Philips,868,2005,Q2",Cancelled,92 x 45 x 26 mm (3.62 x 1.77 x 1.02 in),110 g (3.88 oz),Mini-SIM,"TFT resistive touchscreen,256K colors",,"128 x 160 pixels
478,Philips,859,2004,Q3",Discontinued,"88 x 46 x 23 mm,77 cc (3.46 x 1.81 x 0.91 in)",94 g (3.32 oz),Mini-SIM,"TFT,65K colors",
479,Philips,Fisio 625,2002,Discontinued,"104 x 46 x 20 mm,73 cc (4.09 x 1.81 x 0.79 in)",85 g (3.00 oz),Mini-SIM,Graphics,,"101 x 80 pixels,8 lines"
480,Philips,Fisio 620,2002,Discontinued,"104 x 46 x 20 mm,73 cc (4.09 x 1.81 x 0.79 in)",85 g (3.00 oz),Mini-SIM,Monochrome graphic,,"101 x 80 pixels,8 lines"
481,Philips,Fisio 610,2001,Discontinued,110 x 45 x 18 mm (4.33 x 1.77 x 0.71 in),90 g (3.17 oz),Mini-SIM,Monochrome graphic,,5 lines,V1,
482,Philips,Azalis 268,2000,Discontinued,119 x 44 x 22 mm (4.69 x 1.73 x 0.87 in),99 g (3.49 oz),Mini-SIM,Monochrome graphic,,5 lines,V1,
